00401E	Z-AVT
00A272	ZS-NAN
00A6E5	ZS-OSI
00A7A8	ZS-OZV
00B0BB	ZS-SLE
00B0BC	ZS-SLF
00B0ED	ZS-SNC
00B2BC	ZS-TEX
01000F	SU-GAY
010011	SU-GBA
010012	SU-GBB
010013	SU-GBC
010014	SU-GBD
010015	SU-GBE
010016	SU-GBF
010017	SU-GBG
010018	SU-GBH
01001A	SU-GBJ
01001C	SU-GBL
01001D	SU-GCL
010027	SU-GBO
01002C	SU-GBT
01002D	SU-GBU
01002E	SU-GBV
01002F	SU-GBW
010038	SU-BDG
01003A	SU-KBA
010055	SU-GBY
010059	SU-EAJ
010090	SU-GBZ
010092	SU-GCB
010093	SU-GCC
010094	SU-GCD
01009F	SU-LBG
0100A2	SU-GCE
0100A3	SU-GCF
0100A5	SU-GCH
0100A6	SU-GCI
0100A7	SU-GCJ
0100D7	SU-BPG
0100D8	SU-BPH
0100DB	SU-GCM
0100DC	SU-GCN
0100DD	SU-GCO
0100DE	SU-GCP
0100E1	SU-LBH
0100E4	SU-BPU
0100E5	SU-BPV
0100E6	SU-BPW
0100E7	SU-BPX
0100E8	SU-ZBB
0100EA	SU-LBI
0100F4	SU-SMB
0100F6	SU-BPZ
0100F7	SU-BQA
0100FC	SU-LBJ
018001	5A-DCM
018021	5A-ONE
01802F	5A-ONB
020005	CN-RMW
020006	CN-RMY
020009	CN-RNB
020012	CN-RNH
020018	CN-RNK
02001B	CN-RNL
02001C	CN-RNM
020025	CN-RNP
020026	CN-RNQ
02002E	CN-RMZ
020045	CN-RNV
020053	CN-RNW
020054	CN-RNX
020057	CN-RNZ
020058	CN-ROA
02005A	CN-ROB
02005B	CN-ROC
020065	CN-ROD
020066	CN-ROE
02006A	CN-RPB
02006B	CN-ROG
02006E	CN-ROJ
020072	CN-ROL
020079	CN-RPA
02007D	CN-ROR
020080	CN-RPC
020081	CN-TJB
020086	CN-RPE
029122	TS-IOG
029123	TS-IOH
029124	TS-IOI
029125	TS-IOJ
029126	TS-IOK
029127	TS-IOL
029128	TS-IOM
029129	TS-ION
02912A	TS-IOP
02912B	TS-IOQ
02912C	TS-IOR
0292A1	TS-IMB
0292A2	TS-IMC
0292A3	TS-IMD
0292A4	TS-IMF
0292A5	TS-IMG
0292A7	TS-IME
0292A8	TS-IMI
0292A9	TS-IML
0292AA	TS-IMM
0292AB	TS-IMN
0292AC	TS-IMP
0292C1	TS-IMJ
0292C2	TS-IMK
02A2A2	TS-INB
02A2A3	TS-INC
02A2A6	TS-INF
02A2A7	TS-INN
02A2A9	TS-INI
02A2AB	TS-IQA
02A2AC	TS-IQB
02A2AD	TS-INK
02A2AE	TS-INL
02A2AF	TS-INM
02A2B0	TS-INO
02C381	TS-ISA
02D121	TS-IEC
02D122	TS-IED
02D123	TS-IEE
02D124	TS-IEF
02D125	TS-IEG
02D126	TS-IEJ
03E003	TR-LEX
040003	ET-AKC
040016	ET-ALP
04001C	ET-AMF
04C029	5Y-KQZ
04C02A	5Y-KQY
04C02B	5Y-KQX
04C02F	5Y-KQU
04C037	5Y-KQS
04C041	5Y-KYZ
053977	-UNKNOWN-
05C05C	TZ-BSB
060019	3B-NBE
06A001	A7-HHK
06A007	A7-ABN
06A00F	A7-AAG
06A011	A7-ABW
06A012	A7-ABX
06A013	A7-ABY
06A014	A7-HHJ
06A016	A7-ADA
06A017	A7-ADB
